beer_id,beer_name,place_id,info_id
133,Tart n Juicy Sour IPA                                                                               ,0,129
134,Bison Weizen                                                                                        ,63,130
135,Cascade Sang Rouge                                                                                  ,0,131
136,Dogmatic                                                                                            ,38,132
137,Black Forest Bastard                                                                                ,0,133
138,Gunnpowder IPA                                                                                      ,26,134
139,Santas Beered 10                                                                                    ,32,135
140,Berkeley Brown                                                                                      ,14,136
141,Edelmeister Radler                                                                                  ,64,137
142,Holiday In Cascadia                                                                                 ,16,138
143,BBR (Beaver Blue Ribbon)                                                                            ,3,139
144,Raspberry American Sour                                                                             ,65,140
145,ChamALEon                                                                                           ,49,141
146,Imperial Amber Ale                                                                                  ,58,142
147,Sunburnt Irish Red                                                                                  ,13,143
148,Neziah Bliss                                                                                        ,47,144
149,Brandy Aged Tart Double Stout                                                                       ,34,145
150,Black Tonic                                                                                         ,0,146
151,Precipitation Porter                                                                                ,29,147
152,Hammer Blont                                                                                        ,3,148
153,Mashina                                                                                             ,62,149
154,Stolt Lager                                                                                         ,20,150
155,Thats A Paddlin                                                                                     ,13,151
156,Inner Dinosaur Rye India Pale Ale                                                                   ,34,152
157,UB Export Strong                                                                                    ,4,153
158,Bay Muck Brown Ale (brewed With Caramello Bars)                                                     ,66,154
159,Urban Sombrero                                                                                      ,12,155
160,Cocoa Milk                                                                                          ,29,156
161,Little India Pale Ale (100% Vienna Malt)                                                            ,0,157
162,Nog                                                                                                 ,0,158
163,Collaborative Evil                                                                                  ,40,159
164,Zephyr Pina Colada                                                                                  ,0,160
165,Hirsch-Gold                                                                                         ,32,161
166,Uncle Ernies Oatmeal Pale Ale                                                                       ,22,162
167,Avatar Gin-Barrel Aged                                                                              ,19,163
168,Blueberry Hoppy Meal                                                                                ,3,164
169,Smuttynose IPA W/Amarillo And Citra                                                                 ,51,165
170,A Terrible Beauty                                                                                   ,28,166
171,Experiment-Ale: Batch #66                                                                           ,2,167
172,Blanche                                                                                             ,12,168
173,Wheat Ale                                                                                           ,10,12
174,Queen of Cups                                                                                       ,67,169
175,Belgian Saison                                                                                      ,68,170
176,Maple Bacon Porter                                                                                  ,10,171
177,Pinkly Taurus                                                                                       ,19,172
178,Chti Brune                                                                                          ,2,173
179,Philadelphia Porter                                                                                 ,69,174
180,Purgatory Black Cream Ale                                                                           ,4,175
181,Quaff Bros Grand Crow                                                                               ,26,176
182,Light Beer                                                                                          ,29,177
183,The Decline                                                                                         ,70,178
184,The Calling                                                                                         ,0,179
185,Bionda                                                                                              ,0,180
186,Banana Nut Brown                                                                                    ,6,181
187,Nitro                                                                                               ,19,182
188,The Hop Collective (THC): Equinox                                                                   ,0,183
189,Iwatekura IPA                                                                                       ,68,17
190,Unity                                                                                               ,5,184
191,Tripel K                                                                                            ,0,185
192,Plum Gueuze                                                                                         ,23,186
193,Rauchbier                                                                                           ,34,187
194,MK Ultra                                                                                            ,4,188
195,Dark Cloud                                                                                          ,34,189
196,Badetiss                                                                                            ,27,190
197,Altbier                                                                                             ,24,191
198,Barleys Bombshell Blonde                                                                            ,58,192
199,Wasatch Switch                                                                                      ,29,193
200,Imperial Stout                                                                                      ,71,194
201,Heritage Farmhouse Saison                                                                           ,29,195
202,Let It Ryed IPA                                                                                     ,57,196
203,Oryza IPA                                                                                           ,27,197
204,Scottish Ale                                                                                        ,16,83
205,Black Hole (Bourbon Edition)                                                                        ,30,198
206,Streif                                                                                              ,72,199
207,Coco Loco                                                                                           ,26,200
208,Concrete Peaks                                                                                      ,40,201
209,Oatmeal Stout                                                                                       ,34,202
210,Berenstain Brown                                                                                    ,19,203
211,Fraile                                                                                              ,68,204
212,Christmas Farm Ale                                                                                  ,73,205
213,Belgian IPA                                                                                         ,27,206
214,Bourbon Barrel Existential Porter                                                                   ,21,207
215,Bourbon Barrel Double Stout                                                                         ,19,208
216,Older Viscosity                                                                                     ,0,209
217,Série Signature - Hopfenweisse                                                                     ,0,210
218,Tipperary Red                                                                                       ,10,211
219,Tropical Heatwave Wheat Ale                                                                         ,34,212
220,The Mighty Wurlitzer                                                                                ,27,213
221,Black Cherry Sherry Stout                                                                           ,74,214
222,Empirical 7                                                                                         ,51,215
223,Cherry Lime Gose                                                                                    ,0,216
224,Kilikia Light                                                                                       ,49,217
225,Bonfire & Illumination                                                                              ,75,218
226,Döbler Fränkisches Festtagsbier                                                                   ,34,219
227,I’m So Horny!                                                                                     ,22,220
228,Gorgeous George                                                                                     ,16,221
229,All is Well                                                                                         ,40,222
230,Taïga                                                                                              ,76,133
231,Redneck Alt                                                                                         ,10,223
232,Framboise Noir                                                                                      ,41,224
233,Stop & Do                                                                                           ,4,225
234,Black Harvest Stout                                                                                 ,4,226
235,Stacker                                                                                             ,24,227
236,Haboob Black IPA                                                                                    ,21,228
237,Sheepshead Stout                                                                                    ,45,229
238,Bourbon Barrel-aged Dark Star                                                                       ,21,230
239,Not Yo Mamas Java                                                                                   ,19,231
240,High Nose Snow                                                                                      ,29,232
241,Big Dummy IPL                                                                                       ,61,233
242,East River IPA                                                                                      ,13,234
243,Burgherren Pils                                                                                     ,4,235
244,Das Frettchen Oktoberfest                                                                           ,20,236
245,Strawberry Detention Double IPA                                                                     ,22,237
246,Belgian Golden                                                                                      ,29,238
247,Teachers Aide                                                                                       ,27,239
248,Bohemia ipa                                                                                         ,34,240
249,Ground Zero / White Stork Grounded Stork Saison Grisette                                            ,0,241
250,Wee-Heavy                                                                                           ,77,242
251,Redfeather Session IPA                                                                              ,78,243
252,Endurance (2015 Ski To Sea Race)                                                                    ,79,244
253,Sesh                                                                                                ,3,245
254,Pumpkin Lager                                                                                       ,3,246
255,Vitamin O                                                                                           ,25,247
256,Boh Pils                                                                                            ,11,248
257,Old Growler                                                                                         ,11,249
258,Trial & Error # 132 - Wet Hopped Saison                                                             ,47,250
259,"The ""Royal Wheat""                                                                                   ",58,251
260,Bitter                                                                                              ,4,252
261,Muerte Al Cereal                                                                                    ,44,253
262,Dubec                                                                                               ,24,254
263,Liquid Advent                                                                                       ,58,255
264,Saison                                                                                              ,3,256
265,Session Black IPA                                                                                   ,6,257
266,Old 96 Sticke Alt                                                                                   ,29,258
267,Skittles Berliner                                                                                   ,0,259
268,Saving Daylight                                                                                     ,35,260
269,Flippin’ Frappe DIPA                                                                              ,46,261
270,Jubilee                                                                                             ,27,262
271,Rapid Transit                                                                                       ,49,263
272,Jai Alai IPA - Key Lime                                                                             ,28,264
273,Archives 1804 T                                                                                     ,49,265
274,Cranberry Berliner                                                                                  ,19,163
275,Abbey Ale                                                                                           ,27,266
276,Green And Gold                                                                                      ,0,267
277,Solicitation                                                                                        ,25,15
278,SVE Kölsch                                                                                         ,24,268
279,Throw Back Pilsner                                                                                  ,52,269
280,MOAB (Mother Of All Bettys)                                                                         ,45,270
281,Monkish / Half Acre Here To Fish                                                                    ,25,271
282,Czech-Style Pilsner                                                                                 ,0,272
283,Short-Term Immortal                                                                                 ,33,273
284,Coal Train-Dates & Currants                                                                         ,0,274
285,Winter Warmer                                                                                       ,34,275
286,"Virginia Cobbler: Cherry, Peach                                                                     ",4,276
287,La Loggia Tipo Pilsen                                                                               ,51,277
288,Town Series: Totally Bonkers                                                                        ,21,278
289,Hopicorn                                                                                            ,49,279
290,Shinjiko Sekiyo Amber Ale                                                                           ,80,280
291,Odranoel                                                                                            ,3,281
292,Dockside Schwarzbier                                                                                ,44,282
293,Pride Of Nekron                                                                                     ,5,283
294,Triple Play                                                                                         ,25,284
295,Planet Oedipus Lifeform No. 1-PO17-GL-HMBO                                                          ,3,285
296,Bottle Rocket                                                                                       ,55,286
297,Blitzen                                                                                             ,27,287
298,Little Bastard Ale                                                                                  ,62,288
299,Monkin                                                                                              ,79,289
300,End of The Line - Simcoe IPA                                                                        ,58,290
301,Wermlands Ale                                                                                       ,22,291
302,Cuivre                                                                                              ,25,292
303,Obsession Ale                                                                                       ,35,7
304,Manchurian Candidate                                                                                ,13,293
305,Island Daydream                                                                                     ,0,294
306,Apparition Double IPA - Habanero                                                                    ,34,295
307,Beer Bath                                                                                           ,29,296
308,Eureka W/ Citra                                                                                     ,0,297
309,Genesee Brew House Unfiltered IPA                                                                   ,81,298
310,Whistle Pig Juniper Ale                                                                             ,82,299
311,Monk House                                                                                          ,12,300
312,FFG                                                                                                 ,14,301
313,Plum And Cardamom Rye Saison (Hops & Pie Collaboration)                                             ,34,302
314,Druthers Sour Brown                                                                                 ,19,303
315,Bourbon Aged Barleywine                                                                             ,79,304
316,Hertog Jan Grand Prestige Vatgerijpt Bourbon                                                        ,21,305
317,Rhenish Alt                                                                                         ,19,306
318,KellerBier                                                                                          ,34,307
319,Sugar And Spice And Everything Nice Belgian Ale                                                     ,40,308
320,Bitter Buffalo India Brown Ale                                                                      ,62,309
321,Samson Budweiser Bier Černý                                                                       ,24,310
322,"Anastasias Chocolate Fantasy (With Coconut, Buckwheat, & Lactose)                                   ",22,311
323,Double Dry Hopped Art & Industry                                                                    ,39,312
324,2 Jacks                                                                                             ,83,307
325,Mods Pale Ale                                                                                       ,84,313
326,Estrella Galicia 1906 Black Coupage                                                                 ,49,314
327,Piebalga                                                                                            ,14,315
328,Pale Ale                                                                                            ,44,316
329,Summer Buzz                                                                                         ,49,317
330,Confucius Says                                                                                      ,36,318
331,Salinenbräu Hell                                                                                   ,85,319
332,Proud Pilsner                                                                                       ,26,320
333,ConocoGIN                                                                                           ,86,321
334,F.J.R. Imperial White IPA                                                                           ,34,322
335,Fashionably Late                                                                                    ,87,323
336,Gooseberry Changeling                                                                               ,22,324
337,Calypso                                                                                             ,0,325
338,Sidewinder Red Ale                                                                                  ,4,326
339,Tart                                                                                                ,44,327
340,Off White Wit                                                                                       ,19,328
341,Centennial IPA                                                                                      ,57,329
342,Stout                                                                                               ,35,330
343,Scovilliaus Maximus                                                                                 ,0,331
344,SINGULARITY IPA                                                                                     ,35,332
345,City Steam Amarillo IPA                                                                             ,0,333
346,Alexander Keiths Red Amber Ale                                                                      ,24,74
347,Princess                                                                                            ,34,334
348,Crystal Springs Pilsner                                                                             ,11,335
349,The Bunnyman White IPA                                                                              ,40,336
350,Hopocalypse White Label (Hazy Double IPA)                                                           ,68,337
351,Golden Pippin Ale                                                                                   ,88,338
352,SMaSH 007                                                                                           ,0,339
353,Chaos Monkey                                                                                        ,0,90
354,Double IPA                                                                                          ,74,340
355,Leffe Royale Mount Hood                                                                             ,0,341
356,Noble Oaf (Dry Hopped Edition)                                                                      ,58,342
357,Kolsch                                                                                              ,3,70
358,Quiet Ryeit                                                                                         ,51,108
359,Victorias Secret                                                                                    ,34,343
360,Cranberry Hopped Shandy                                                                             ,23,344
361,Wet Hopped Blonde Ale                                                                               ,26,345
362,Magic #3.5 - Pineapple Gose                                                                         ,34,289
363,Coffee Vanilla Porter                                                                               ,28,346
364,Pink Clouds Porter                                                                                  ,55,347
365,Retro Red Ale                                                                                       ,21,348
366,Old Detroit Alt Bier                                                                                ,19,349
367,No. 21 Double IPA                                                                                   ,13,350
368,Diet Starts Monday                                                                                  ,26,351
369,Rus                                                                                                 ,4,352
370,BeerZelis Fest Filtered                                                                             ,89,353
371,Visen                                                                                               ,29,354
372,West Shefford Cette Sorte Là                                                                       ,24,355
373,The Nihilist                                                                                        ,49,356
374,Out.Haus Ales IPA                                                                                   ,24,277
375,Pilsen Paraguaya                                                                                    ,37,357
376,Twangy Banjo                                                                                        ,84,329
377,Double Rainbow                                                                                      ,10,358
378,Foraging For Herbs                                                                                  ,19,359
379,Fo-Porter                                                                                           ,28,56
380,Dochter Seizoen                                                                                     ,90,360
381,Sweetwater Motor Boat                                                                               ,49,361
382,Ice Pick Ale                                                                                        ,19,362
383,Oaked Barleywine                                                                                    ,67,363
384,Roadside IPA                                                                                        ,44,364
385,Bitter Bee                                                                                          ,4,365
386,12oz Abs                                                                                            ,17,366
387,Reality Bath                                                                                        ,19,58
388,ETe Sans Fin                                                                                        ,0,105
389,Twains Honest Lender Imperial Brown                                                                 ,27,302
390,Dry Stout                                                                                           ,91,367
391,Tornado Alley Dry Hopped                                                                            ,41,368
392,Oktoberfest                                                                                         ,35,274
393,The Mula IPA                                                                                        ,27,369
394,Žatec Dark Lager                                                                                 ,17,370
395,Wit Your Pants                                                                                      ,51,371
396,Ølfabrikken Skråplan                                                                              ,39,372
397,Hofbräu Winterzwickl                                                                               ,57,373
398,Hup! Hup! Hup!                                                                                      ,80,374
399,Color Field                                                                                         ,84,375
400,Spicy Hawaiian                                                                                      ,44,376
401,Porter For Princesses                                                                               ,55,377
402,Omnipresent                                                                                         ,22,378
403,St. Bretta Citrus Wildbier Gold Nugget Mandarin                                                     ,34,379
404,Session IPA                                                                                         ,34,380
405,Hiisi Rakki                                                                                         ,82,381
406,Blackberry Crimson Oat                                                                              ,14,364
407,Slam Dunkel Weizenbock                                                                              ,58,7
408,Four Spacious Skies                                                                                 ,19,382
409,Nerka                                                                                               ,21,383
410,Double dry hopped Zeus king of gods                                                                 ,56,384
411,Raisin Hell                                                                                         ,24,296
412,Closing Campfire                                                                                    ,3,385
413,Agrumes                                                                                             ,34,386
414,Pear Katy                                                                                           ,92,387
415,Hans Trapp                                                                                          ,14,388
416,The Henchman                                                                                        ,4,389
417,Distorter Porter                                                                                    ,19,390
418,Great Lakes Crazy Canuck Brettanomyces Lambicus                                                     ,10,391
419,Courlieu                                                                                            ,51,392
420,East Chop Light(house) Lager                                                                        ,1,393
421,Barrel Aged Maple Oatmeal Stout                                                                     ,0,394
422,Brock Street Bock                                                                                   ,4,251
423,Cuvee Delphine - Cask Strength 4 Roses BA                                                           ,26,395
424,Double Buck IPA                                                                                     ,10,396
425,Metanoia                                                                                            ,14,397
426,Funk Land Country Shuffle                                                                           ,14,398
427,Neustadt Texas Tea Honey Stout                                                                      ,26,399
428,Black Matter                                                                                        ,0,400
429,Mulhollands Stash Barleywine                                                                        ,93,401
430,Rossa Gems                                                                                        ,3,402
431,Four Saisons                                                                                        ,11,403
432,NWC Radish Wheat                                                                                    ,2,404
433,The Point                                                                                           ,26,405
434,Cali IPA                                                                                            ,35,406
435,Free Range                                                                                          ,0,407
436,English IPA                                                                                         ,6,408
437,Public House                                                                                        ,32,409
438,Party Dome                                                                                          ,44,410
439,Remnant Of Dragon                                                                                   ,12,411
440,Sheldon                                                                                             ,0,412
441,Barkeater Amber Ale                                                                                 ,74,56
442,Longest Night                                                                                       ,49,413
443,Adnams Spindrift                                                                                    ,19,414
444,X-1 008                                                                                             ,87,415
445,Redwood Lodge American Dark                                                                         ,44,416
446,All Is Lost!                                                                                        ,14,417
447,38 State Red Ale                                                                                    ,34,418
448,Bière Du Père                                                                                     ,35,419
449,Rebel Alliance                                                                                      ,58,420
450,Vanilla Oak (Six Ways)                                                                              ,14,421
451,Louise                                                                                              ,44,422
452,Trailblazer                                                                                         ,25,17
453,Father Christmas - Cabernet Barrel Aged                                                             ,19,423
454,Night Of Terror                                                                                     ,14,424
455,Muscle Memory                                                                                       ,0,398
456,Tr-Hop-ical Storm                                                                                   ,13,398
457,11 Barrel                                                                                           ,25,425
458,Postulate                                                                                           ,7,426
459,Pumpkin Bock                                                                                        ,27,427
460,Schlappeseppel Export                                                                               ,35,428
461,BSH (Back Street Heroes)                                                                            ,19,429
462,Always Eatin Dinner                                                                                 ,27,430
463,Sorcerer                                                                                            ,27,426
464,Who Hopped Ya?                                                                                      ,2,315
465,Motueka Incandenza                                                                                  ,11,431
466,Iced Tea                                                                                            ,22,432
467,Blackberry Raspy                                                                                    ,58,433
468,Hefe Shandy                                                                                         ,68,7
469,Trashmaster 2013                                                                                    ,29,434
470,Magic #8 - Maple Candied Almond Pale                                                                ,11,435
471,Whirlpool                                                                                           ,34,302
472,Bamboozled                                                                                          ,32,436
473,Cantillon à lEcossaise                                                                             ,34,437
474,Verbal Hologram                                                                                     ,38,438
475,Black Oak Cafe Au Lait                                                                              ,87,439
476,Blue Mountain Pilsner                                                                               ,13,440
477,Peachacalypse                                                                                       ,34,441
478,Blackberry Coffee Latte                                                                             ,0,442
479,Possible Worlds                                                                                     ,23,443
480,Four Cs American Pale Ale                                                                           ,3,444
481,Robust Porter                                                                                       ,26,445
482,Abstrakt AB:05                                                                                      ,4,446
483,Czar Face (Bourbon Barreled)                                                                        ,19,447
484,Kees / De Molen Lapsang Souchong                                                                    ,4,74
485,Rye Bread Porter                                                                                    ,19,448
486,Weird Beard / Bexar County A Lemon Tree My Dear Watson                                              ,29,449
487,Too Nice Yams                                                                                       ,24,450
488,Sheep Stealer                                                                                       ,32,451
489,Pilsener                                                                                            ,27,452
490,What Else Is New?                                                                                   ,62,261
491,Lawn American Cream Ale                                                                             ,25,453
492,Strap-Ons                                                                                           ,58,454
493,Jolly Abbot Barley Wine                                                                             ,94,455
494,CircumSaison                                                                                        ,47,456
495,Maiden Voyage                                                                                       ,55,457
496,Heavy Seas Bourbon Barrel Aged Below Decks                                                          ,47,458
497,The CREATURE From The BROWN LEGUME                                                                  ,34,459
498,Acid Queen                                                                                          ,74,460
499,The Big Nasty                                                                                       ,52,461
500,International Relations IPA                                                                         ,95,462
501,Stauffenberg Stout                                                                                  ,50,463
502,Citronic Sessions                                                                                   ,27,266
503,Cuvée Alex Le Rouge (Jurassian Imperial Stout)                                                     ,74,464
504,Templeton Session Style Ale                                                                         ,79,465
505,Over The Barrel - Grape                                                                             ,69,466
506,Masala                                                                                              ,4,467
507,Patriot Pale                                                                                        ,0,74
508,Nikolai Vorlauf - Double Barrel Aged                                                                ,46,270
509,Barrel-Aged Chocolate Rye Porter With Blood Orange                                                  ,46,468
510,Bravo! Bravo!                                                                                       ,96,469
511,Maibock                                                                                             ,0,470
512,Pilsner                                                                                             ,21,81
513,Belfast Ale                                                                                         ,4,471
514,Allgäuer Festbier                                                                                  ,86,142
515,Raven Stout                                                                                         ,27,472
516,Bohemian Pils                                                                                       ,29,473
517,Lupulin Shake                                                                                       ,34,474
518,Chocolate Milk Stout                                                                                ,4,475
519,Ginger Catching Up                                                                                  ,3,476
520,De Ranke Hop Harvest 2013                                                                           ,97,477
521,Tropic Junction                                                                                     ,22,93
522,Achilles Field                                                                                      ,28,478
523,Marketing Ploy                                                                                      ,38,479
524,Lava Rock Porter                                                                                    ,0,480
525,Smoked Porter                                                                                       ,19,481
526,Big Stitch Nick                                                                                     ,0,435
527,Everything Sucks                                                                                    ,23,482
528,Imperial IPA                                                                                        ,19,483
529,Wheat Stout                                                                                         ,19,484
530,Lakrids #1 (Piratos)                                                                                ,25,485
531,Kendi                                                                                               ,3,486
532,Rodolfo                                                                                             ,19,487
533,Hoof-E-Weizen                                                                                       ,48,488
534,Point Oktoberfest                                                                                   ,34,166
535,Double Hop                                                                                          ,39,489
536,DIPA                                                                                                ,0,490
537,Fresh Coast - Mosaic                                                                                ,55,491
538,Shadow Watcher                                                                                      ,29,492
539,Soorj Coffee Stout                                                                                  ,14,493
540,Beverly Crusher                                                                                     ,38,494
541,Southbay Blonde                                                                                     ,21,495
542,256 Extra Pale Ale                                                                                  ,33,496
543,Southern Dobis Pale Ale (Cask) W/ Citra Hops                                                        ,98,497
544,Dropkick Dunkle                                                                                     ,21,498
545,Clip Art - Azacca                                                                                   ,44,499
546,Damn Straight                                                                                       ,0,500
547,Outcast Amber                                                                                       ,58,501
548,American Style Pale Wheat Ale                                                                       ,0,502
549,Wowzers Summer Wheat                                                                                ,94,317
550,BeerZelis Chernoe                                                                                   ,0,503
551,White IPA                                                                                           ,35,504
552,Tipperyery Stout                                                                                    ,14,505
553,Houblon Or                                                                                          ,0,426
554,Imperial Brown Ale                                                                                  ,3,506
555,Koff Velvet III                                                                                     ,47,507
556,Double Nap (Wet Hopped Double Tap)                                                                  ,50,508
557,Hopsquatch II                                                                                       ,37,509
558,One Goal. One Ryed                                                                                  ,0,510
559,Keltek King                                                                                         ,35,511
560,Friends Forever                                                                                     ,74,512
561,Stoutlandish                                                                                        ,19,513
562,Twisted Root                                                                                        ,56,514
563,Big Doedish                                                                                         ,0,515
564,Barn Phantom Gose With Mango                                                                        ,2,69
565,Rolling Hills Pils                                                                                  ,29,516
566,Fritzicuffs                                                                                         ,58,517
567,Red Honey Ale                                                                                       ,44,518
568,Nitro Chocolate Vanilla Orange Porter                                                               ,0,519
569,Sabuccino Sessanta Stout                                                                            ,46,520
570,Cucumber Pale Ale                                                                                   ,44,521
571,Bronzen Schild Belgian Tripel Ale                                                                   ,2,522
572,American Bitter Pale Ale                                                                            ,64,523
573,ISO: Chuck Biscuits FT: Simcoe                                                                      ,25,524
574,Beelzebub                                                                                           ,99,525
575,Amber Ale                                                                                           ,27,526
576,Schönbuch Ur-Edel                                                                                  ,4,527
577,La Franc Bois                                                                                       ,89,528
578,11 Amp                                                                                              ,23,529
579,Fat Cat Unique Pale Ale                                                                             ,27,223
580,Chocolate Hazelnut Porter                                                                           ,29,530
581,Hopbominable Snowmonster                                                                            ,52,531
582,Rousse Forte à La Canneberge Et Aux Épices                                                        ,12,532
583,Centennial King IPA                                                                                 ,22,533
584,Finest Kind                                                                                         ,10,534
585,Green Card                                                                                          ,35,505
586,Sentencio                                                                                           ,84,535
587,Bastille                                                                                            ,0,536
588,Kruzhka Svezhego                                                                                    ,29,537
589,Doble IPA                                                                                           ,10,538
590,Astrolabe                                                                                           ,38,539
591,PJW 30th Anniversary Ale                                                                            ,88,540
592,Deluxe Spring Lager                                                                                 ,60,541
593,Saison Lemon Sour                                                                                   ,16,542
594,Belgian Pale                                                                                        ,29,543
