id,name,brewery_id,state,country,style,availability,abv,notes,retired
339940,Blueberry Grind,41975,MO,US,Leipzig Gose, Rotating,4.3,"Sour brewed with blueberries, lemon peel and Messenger Coffee's natural processed Ethiopian.",f
172090,Berlin Bulldog,31571,CA,US,German Pilsner, Rotating,5.1,No notes at this time.,f
66299,Chief Lightfoot,22434,WA,US,Irish Red Ale, Rotating,5.5,No notes at this time.,f
307145,Table Weiss,41121,AZ,US,German Kristalweizen, Rotating,4.6,No notes at this time.,f
276933,Marzan Ale,45873,CO,US,German Märzen / Oktoberfest, Year-round,5.5,No notes at this time.,f
169433,Kirkland Signature Brown Ale,21516,WA,US,American Brown Ale, Year-round,5,No notes at this time.,f
245495,Raspberry Swine Cooler,28663,VT,US,American Pale Wheat Ale, Limited (brewed once),5,Tart wheat ale w/ raspberries,t
68590,Red Carpet Ale,25430,CA,US,American Amber / Red Ale, Year-round,5.9,No notes at this time.,t
372515,Super Love,44946,MI,US,Leipzig Gose, Limited (brewed once),4.5,No notes at this time.,f
355754,Oh Four! Oatmeal Stout,53225,MI,US,English Oatmeal Stout, Year-round,5.5,No notes at this time.,f
346532,The Union,43127,MA,US,German Maibock, Limited (brewed once),7.2,No notes at this time.,f
274415,Nimbus ^2,44528,HI,US,American Imperial IPA, Limited (brewed once),8,No notes at this time.,t
281791,Go Devil,42635,PE,CA,American IPA, Rotating,6.66,No notes at this time.,f
361125,Hr. Frederiksen Væsel Brunch,13307,,DK,American Imperial Stout, Limited (brewed once),10.7,No notes at this time.,f
241935,Derby Down,42628,VA,US,American Blonde Ale, Limited (brewed once),4.5,No notes at this time.,t
179002,Mikkeller / The Pastels – Pastelism,13307,,DK,Bohemian Pilsener, Limited (brewed once),5.6,No notes at this time.,t
277948,Tree Hugging Wood Chopping Mother Loving IPA,47733,,FI,American IPA, Year-round,6,No notes at this time.,f
126074,Faction Barleywine,33181,CA,US,American Barleywine, Limited (brewed once),9,No notes at this time.,t
348448,Nutha' Mate Auz Ale,52888,BC,CA,English Pale Ale, Rotating,6.5,No notes at this time.,f
91005,16 Barrels Double Golden,16873,OR,US,American Strong Ale, Limited (brewed once),10,No notes at this time.,t
241622,Hefeweizen,44859,NC,US,German Hefeweizen, Rotating,5.5,No notes at this time.,f
327141,Surrey Sour,47514,GB2,GB,American Wild Ale, Rotating,4.2,No notes at this time.,f
1826,Wells Bombardier (English Premium Bitter),664,GB2,GB,English Extra Special / Strong Bitter (ESB), Year-round,5.2,No notes at this time.,f
201291,Plem,31448,MO,US,American Wild Ale, Rotating,6,No notes at this time.,f
322317,Mint Chocolate Collusion,39763,FL,US,Russian Imperial Stout, Rotating,13,No notes at this time.,f
303693,Deep Cut Reserve Series - RR#23,46527,MA,US,Rye Beer, Limited (brewed once),10.8,No notes at this time.,t
282382,Rozha Hibiscus Lager,47227,CO,US,American Lager, Rotating,4.6,No notes at this time.,f
362423,Dark Weasel Porter,53573,CA,US,American Porter, Rotating,1.2,No notes at this time.,f
145222,Speedway Stout - Honey Graham,396,CA,US,American Imperial Stout, Limited (brewed once),12,Maple syrup & Cinnamon.,t
311572,Traust,50977,ND,US,Foreign / Export Stout, Rotating,4.5,"tʰrøyst/ Norwegian for 'stout'. Ours is a medium roasted stout with a light body, tan foamy head, and clean mouth feel. An easy drinking pub ale.",f
317409,Chanukah Hanukkah Pass the Beer 2017,262,NY,US,Belgian Strong Pale Ale, Limited (brewed once),8,Golden Strong Ale brewed with Cocoa Nibs. ,f
247024,Rhubarb Berlinerweiss,46119,NC,US,Berliner Weisse, Limited (brewed once),3,No notes at this time.,t
25947,Belgian White,4980,WA,US,Belgian Witbier, Summer,4.5,No notes at this time.,f
281088,Rye Crush,29693,WA,US,American IPA, Limited (brewed once),6,No notes at this time.,t
190398,Doehnelles,23326,BC,CA,European Export / Dortmunder, Rotating,3.2,No notes at this time.,f
116682,Lookaftering,33521,DC,US,French Bière de Garde, Rotating,7.1,No notes at this time.,f
81010,Gose,24134,SC,US,Leipzig Gose, Rotating,4,"This is our interpretation of Gose (pronounced “Gose-uh”), a traditional German-style sour wheat beer brewed with coriander and salt. Once nearly extinct, this very refreshing style is making a comeback.",f
5615,Steamed Fritz,695,PA,US,California Common / Steam Beer, Rotating,4.1,No notes at this time.,t
352597,Barrel Project 18.01,39015,,NL,American Imperial Stout, Limited (brewed once),10.5,No notes at this time.,f
230668,Circle Of Trust,35586,NY,US,American IPA, Summer,8.3,No notes at this time.,f
231838,Zeds Dead Blood Orange,35388,NH,US,American Pale Ale (APA), Rotating,4.5,No notes at this time.,f
52830,Bootleg Oatmeal Stout,2553,,AU,English Oatmeal Stout, Limited (brewed once),5.5,No notes at this time.,t
88631,Daisy Mae,16963,NM,US,American Wild Ale, Limited (brewed once),7,No notes at this time.,t
75783,Carmen - Kiwi,16866,CA,US,American Wild Ale, Limited (brewed once),7,No notes at this time.,t
206225,Tart 'n Juicy Sour IPA,22893,UT,US,American IPA, Year-round,4.5,No notes at this time.,f
6299,Bison Weizen,609,CA,US,German Hefeweizen, Year-round,2.3,No notes at this time.,t
56434,Cascade Sang Rouge,2391,OR,US,American Wild Ale, Rotating,8.06,Previously called 'Mouton Rouge'...,f
288235,Dogmatic,32930,CA,US,American Imperial IPA, Rotating,8,No notes at this time.,f
333825,Black Forest Bastard,11023,ON,CA,American Imperial Stout, Limited (brewed once),12,No notes at this time.,f
331373,Gunnpowder IPA,10272,GB6,GB,English India Pale Ale (IPA), Year-round,5.7,No notes at this time.,f
63802,Santa's Beered '10,261,MA,US,Winter Warmer, Limited (brewed once),9,"""Spiced Imperial Red Ale"" according to the brewer.",t
311621,Berkeley Brown,47045,WV,US,American Brown Ale, Rotating,5.2,No notes at this time.,f
338540,Edelmeister Radler,3778,,PL,Fruit and Field Beer, Year-round,2,No notes at this time.,f
168394,Holiday In Cascadia,6269,WA,US,American Black Ale, Rotating,6.7,No notes at this time.,f
277283,BBR (Beaver Blue Ribbon),41072,,AT,German Helles, Year-round,3.3,No notes at this time.,f
367263,Raspberry American Sour,13667,VA,US,American Wild Ale, Rotating,3,No notes at this time.,f
372185,ChamALEon,52707,GB2,GB,American Pale Ale (APA), Rotating,4,No notes at this time.,f
159120,Imperial Amber Ale,31913,,SE,American Imperial Red Ale, Limited (brewed once),9,No notes at this time.,t
69226,Sunburnt Irish Red,25482,,IE,Irish Red Ale, Year-round,5,New from May 2011,f
216389,Neziah Bliss,45,NY,US,American Strong Ale, Limited (brewed once),9.7,No notes at this time.,t
188649,Brandy Aged Tart Double Stout,31097,CA,US,American Wild Ale, Limited (brewed once),7.1,No notes at this time.,t
112542,Black Tonic,28299,OH,US,American Stout, Rotating,8.8,No notes at this time.,f
143277,Precipitation Porter,31030,WA,US,American Porter, Rotating,6.2,No notes at this time.,f
165166,Hammer Blont,25964,,NL,American Blonde Ale, Year-round,1,No notes at this time.,f
315066,Mashina,49734,SD,US,Baltic Porter, Rotating,8,Formerly known as Machina,f
90080,Stolt Lager,22537,,SE,Bohemian Pilsener, Year-round,5,No notes at this time.,f
143477,That's A Paddlin',3137,NY,US,American IPA, Limited (brewed once),5.7,No notes at this time.,t
314711,Inner Dinosaur Rye India Pale Ale,34280,PA,US,American IPA, Limited (brewed once),7.4,No notes at this time.,f
166717,UB Export Strong,91,,IN,European Strong Lager, Year-round,8,"UB Export Strong, a 'strong' avatar of Karnataka's much loved and iconic beer brand UB Export was launched across Karnataka in June/July 2009.",f
294576,Bay Muck Brown Ale (brewed With Caramello Bars),46695,NJ,US,American Brown Ale, Limited (brewed once),2,No notes at this time.,t
282973,Urban Sombrero,37078,OH,US,American Adjunct Lager, Rotating,5.7,"Combining the spirit of Old Mexico with a little big city panache, Urban Sombrero is a cover-worthy Mexican Style Lager brewed for early summer sipping. Liberty hops provide a floral bouquet and hint of spice to this classic brew. Best enjoyed ice cold in the shade on a hot day, no lime necessary. Vaya con Dios.",f
272375,Cocoa Milk,40892,CA,US,English Sweet / Milk Stout, Limited (brewed once),8.3,No notes at this time.,t
108828,Little India Pale Ale (100% Vienna Malt),199,CA,US,American Pale Ale (APA), Rotating,1,No notes at this time.,f
65001,Nog,1550,,US,American Amber / Red Ale, Winter,5.4,No notes at this time.,f
52230,Collaborative Evil,1678,CA,US,Belgian Strong Pale Ale, Limited (brewed once),7,No notes at this time.,t
365980,Zephyr Pina Colada,16315,GB6,GB,American Wild Ale, Rotating,4.6,No notes at this time.,f
23920,Hirsch-Gold,620,,DE,German Helles, Year-round,5.2,No notes at this time.,f
145005,Uncle Ernie's Oatmeal Pale Ale,26620,CO,US,American Pale Ale (APA), Rotating,5.8,No notes at this time.,f
256320,Avatar Gin-Barrel Aged,700,WA,US,American Imperial IPA, Rotating,7,No notes at this time.,f
260095,Blueberry Hoppy Meal,44082,MO,US,American Pale Ale (APA), Rotating,6.6,No notes at this time.,f
282917,Smuttynose IPA W/Amarillo And Citra,141,NH,US,American IPA, Limited (brewed once),6.9,No notes at this time.,t
237346,A Terrible Beauty,36597,IN,US,Foreign / Export Stout, Rotating,6,No notes at this time.,f
139775,Experiment-Ale: Batch #66,33642,NJ,US,American Pale Ale (APA), Limited (brewed once),4.7,No notes at this time.,t
70690,Blanche,25775,QC,CA,Belgian Witbier, Year-round,4.5,No notes at this time.,f
71681,Wheat Ale,17087,GB7,GB,German Hefeweizen, Year-round,4.2,A hefe-weizen with exotic top notes to the aromas. Predominantly banana with floral edges. On the palate the fruit notes continue with some caramel coming through on the rich elegant finish. Retains a good mousse throughout.,f
309146,Queen of Cups,48925,CT,US,Belgian Dubbel, Rotating,7.5,No notes at this time.,f
271505,Belgian Saison,48370,QC,CA,Belgian Saison, Rotating,1,No notes at this time.,f
219156,Maple Bacon Porter,44467,CO,US,American Porter, Rotating,1,No notes at this time.,f
324512,Pinkly Taurus,42205,IN,US,Leipzig Gose, Limited (brewed once),7.9,No notes at this time.,f
18057,Ch'ti Brune,380,,FR,French Bière de Garde, Year-round,6.4,No notes at this time.,f
6834,Philadelphia Porter,695,PA,US,American Porter, Year-round,6,"Originally enjoyed by the working class of England, porters inevitably became a staple in American brew pubs. Our interpretation is brewed with Caramel malt for a rich, toffee-like sweetness and a touch of East Kent Goldings hops. However, it’s the robust flavor of the black and chocolate malt that take center stage in this dark, full-bodied ale.",f
215824,Purgatory Black Cream Ale,34671,ON,CA,American Cream Ale, Rotating,4.3,No notes at this time.,f
111730,Quaff Bros Grand Crow,3474,OH,US,Belgian Quadrupel (Quad), Limited (brewed once),11.5,No notes at this time.,t
250683,Light Beer,47185,,EE,European Pale Lager, Year-round,1,No notes at this time.,f
254603,The Decline,38745,CA,US,American Strong Ale, Rotating,9.5,No notes at this time.,f
283832,The Calling,45678,CA,US,American Pale Ale (APA), Limited (brewed once),6.8,No notes at this time.,t
39035,Bionda,16341,,IT,European Pale Lager, Year-round,4.8,No notes at this time.,t
247876,Banana Nut Brown,28558,CO,US,American Brown Ale, Rotating,5.4,No notes at this time.,f
364550,Nitro,34017,CA,US,English Porter, Summer,4,"Nitro was inspired by cool summers in San Francisco, where outdoor adventures often come with fog. Best enjoyed infused with nitrogen, this beer is light, daring and thirst-quenching, but a double-roasted malt brings in fudge and molasses notes to keep things toasty. This is a beer for a cozy evening at home with a book and blanket, or a few friends and a good conversation.",f
257424,The Hop Collective (THC): Equinox,34658,CT,US,American Pale Ale (APA), Rotating,5.5,No notes at this time.,f
10540,Iwatekura IPA,4974,,JP,American IPA, Year-round,1,No notes at this time.,f
177592,Unity,27922,CA,US,Belgian Saison, Limited (brewed once),5.3,No notes at this time.,t
360468,Tripel K,53427,,BE,Belgian Tripel, Year-round,7.5,No notes at this time.,f
272456,Plum Gueuze,30895,NY,US,Belgian Gueuze, Rotating,1,No notes at this time.,t
22270,Rauchbier,4832,PA,US,German Rauchbier, Rotating,5.7,No notes at this time.,f
263953,MK Ultra,33901,NY,US,American Imperial IPA, Rotating,8.5,Dry hopped with Lemondrop and Simcoe,f
201533,Dark Cloud,30249,FL,US,American Brown Ale, Limited (brewed once),4.7,No notes at this time.,t
104273,Badetiss,31326,MN,US,American Blonde Ale, Rotating,3.5,No notes at this time.,f
251232,Altbier,36639,GB2,GB,German Altbier, Rotating,5.2,No notes at this time.,f
42880,Barley's Bombshell Blonde,1513,OH,US,German Helles, Spring,4.5,No notes at this time.,f
145165,Wasatch Switch,28908,,,American Wild Ale, Limited (brewed once),8,No notes at this time.,t
257745,Imperial Stout,46778,OH,US,Russian Imperial Stout, Rotating,8.5,No notes at this time.,f
189384,Heritage Farmhouse Saison,7527,BC,CA,Belgian Saison, Rotating,5.5,No notes at this time.,f
144767,Let It Ryed IPA,33491,FL,US,Rye Beer, Limited (brewed once),7.3,No notes at this time.,t
343039,Oryza IPA,50253,,PL,American IPA, Rotating,6.7,No notes at this time.,f
330886,Scottish Ale,51053,,BR,Scottish Ale, Year-round,6.5,No notes at this time.,f
58694,Black Hole (Bourbon Edition),13307,1,DK,Russian Imperial Stout, Limited (brewed once),13.1,Brewed at De Proefbrouwerij.,t
234066,Streif,42879,ON,CA,American IPA, Rotating,7,A New Zealand-hopped Wheat IPA fermented entirely with Brettanomyces.,f
142342,Coco Loco,6045,,US,Belgian Strong Pale Ale, Limited (brewed once),8.9,No notes at this time.,t
307448,Concrete Peaks,27035,NY,US,German Märzen / Oktoberfest, Rotating,6,No notes at this time.,f
203666,Oatmeal Stout,43097,CO,US,English Oatmeal Stout, Rotating,6.1,No notes at this time.,f
267313,Berenstain Brown,556,CT,US,English Brown Ale, Rotating,5,No notes at this time.,f
28093,Fraile,12613,,MX,English Porter, Rotating,5.2,No notes at this time.,f
7461,Christmas Farm Ale,1620,FL,US,Winter Warmer, Winter,1,No notes at this time.,t
95834,Belgian IPA,952,WI,US,Belgian IPA, Rotating,1,No notes at this time.,f
55706,Bourbon Barrel Existential Porter,3174,CO,US,American Porter, Rotating,6.7,No notes at this time.,f
63314,Bourbon Barrel Double Stout,2743,CA,US,American Imperial Stout, Rotating,10.1,No notes at this time.,t
34094,Older Viscosity,13839,CA,US,American Imperial Stout, Rotating,12,Imperial Stout aged for 12 months in new bourbon barrels.,f
82299,Série Signature - Hopfenweisse,11056,QC,CA,German Hefeweizen, Rotating,6,Wheat ale mixing the flavors of Germany's weizen and America's typical hops.,f
273071,Tipperary Red,103,NY,US,Irish Red Ale, Rotating,5.2,No notes at this time.,f
79149,Tropical Heatwave Wheat Ale,17981,FL,US,American Pale Wheat Ale, Limited (brewed once),5.2,No notes at this time.,t
253048,The Mighty Wurlitzer,898,MD,US,American Brown Ale, Limited (brewed once),2.2,"Brewed with Kent Golding hops, pecan, cocoa nibs, and coffee.",t
109358,Black Cherry Sherry Stout,24880,MO,US,American Strong Ale, Rotating,2.3,Medium bodied black beer with a fruity/cherry nose and hints of roasted malt and dark caramel that finishes with a subtle tartness. The beer undergoes a secondary fermentation in sherry barrels and with the addition of tart cherries.,t
49575,Empirical 7,863,CA,US,Belgian Saison, Limited (brewed once),7,No notes at this time.,t
363440,Cherry Lime Gose,52393,VA,US,Leipzig Gose, Rotating,4.9,Our tart and salty Gose with cherries and limes. A tasteful balance between the fruits comes forward in both the aroma and flavor.,f
94165,Kilikia Light,671,,AM,American Light Lager, Year-round,4.5,No notes at this time.,f
132542,Bonfire & Illumination,30884,NY,US,American IPA, Limited (brewed once),2.3,No notes at this time.,t
13237,Döbler Fränkisches Festtagsbier,5706,,DE,German Märzen / Oktoberfest, Fall,5.8,No notes at this time.,t
223583,I’m So Horny!,29347,,PL,European Dark Lager, Rotating,6.7,No notes at this time.,f
65106,Gorgeous George,1550,,US,English India Pale Ale (IPA), Limited (brewed once),6.7,No notes at this time.,t
341633,All is Well,38903,NB,CA,American Imperial IPA, Rotating,8,No notes at this time.,f
238958,Taïga,42249,QC,CA,American IPA, Rotating,4.2,No notes at this time.,f
77754,Redneck Alt,28188,KY,US,German Altbier, Year-round,5.4,No notes at this time.,f
89608,Framboise Noir,27917,PA,US,Belgian Strong Dark Ale, Rotating,10.5,No notes at this time.,f
351209,Stop & Do,41542,PA,US,American Imperial IPA, Limited (brewed once),8.7,No notes at this time.,f
97580,Black Harvest Stout,30031,MN,US,American Stout, Rotating,2.1,No notes at this time.,f
269355,Stacker,48210,WI,US,American Cream Ale, Year-round,4.73,No notes at this time.,f
290440,Haboob Black IPA,45920,AZ,US,American Black Ale, Year-round,6,No notes at this time.,f
7916,Sheepshead Stout,1912,WI,US,English Oatmeal Stout, Year-round,5,No notes at this time.,f
201595,Bourbon Barrel-aged Dark Star,32910,CO,US,Russian Imperial Stout, Fall,12,Aged in Heaven Hill Barrels,f
54054,Altbier,1154,OH,US,German Altbier, Rotating,6.75,No notes at this time.,f
278405,Not Yo Mama's Java,45537,SC,US,American Stout, Limited (brewed once),6,No notes at this time.,t
225968,High Nose Snow,37820,,SE,American Pale Ale (APA), Winter,5.2,No notes at this time.,f
234175,Big Dummy IPL,32900,PA,US,American Lager, Limited (brewed once),8.7,No notes at this time.,t
269196,East River IPA,35025,SD,US,American IPA, Rotating,6.4,"The East Coast IPA style focuses on balanced flavor and bitterness. Miner Brewing Company's version boasts juicy grapefruit and mango notes with refreshing, balanced bitterness in the finish.",f
191224,Burgherren Pils,30945,,DE,German Pilsner, Year-round,4.8,No notes at this time.,f
172374,Das Frettchen Oktoberfest,16285,OH,US,German Märzen / Oktoberfest, Fall,3.2,No notes at this time.,f
